date,weekday,new_cases
2026-04-24,週五,1402
2026-04-25,週六,1108
2026-04-26,週日,1090
2026-04-27,週一,1706
2026-04-28,週二,1771
2026-04-29,週三,1988
2026-04-30,週四,1920
2026-05-01,週五,2102
2026-05-02,週六,1301
2026-05-03,週日,1454
2026-05-04,週一,2630
2026-05-05,週二,2487
2026-05-06,週三,2872
2026-05-07,週四,2699
2026-05-08,週五,3059
2026-05-09,週六,1751
2026-05-10,週日,1790
2026-05-11,週一,3149
2026-05-12,週二,3408
2026-05-13,週三,3457
2026-05-14,週四,3643
2026-05-15,週五,3693
2026-05-16,週六,2405
2026-05-17,週日,2271
2026-05-18,週一,3976
2026-05-19,週二,3960
2026-05-20,週三,4213
2026-05-21,週四,4021
