relative_day,wave_2022,wave_2023,wave_2024
1,120,180,240
2,180,290,380
3,260,420,560
4,380,640,820
5,520,920,1180
6,720,1280,1620
7,980,1720,2180
8,1240,2180,2840
9,1580,2640,3520
10,1820,3020,4180
11,1960,3280,4720
12,1880,3340,5040
13,1740,3180,5180
14,1520,2860,5040
15,1280,2440,4640
16,1040,1980,4080
17,820,1560,3420
18,640,1180,2780
19,490,890,2210
20,380,680,1740
21,290,510,1360
22,220,390,1050
23,170,290,810
24,130,220,620
25,100,170,470
26,80,130,360
27,65,100,275
28,52,80,210
29,42,62,160
30,35,48,120
