relative_week,current_year,last_year,historical_high,historical_low
W1,180,220,297,143
W2,220,260,351,169
W3,280,310,418,201
W4,340,380,513,247
W5,420,460,621,299
W6,520,560,756,364
W7,680,720,972,468
W8,920,980,1323,637
W9,1280,1340,1809,871
W10,1820,1820,2457,1183
W11,2640,2480,3348,1612
W12,3580,3120,4212,2028
W13,4220,3640,4914,2366
W14,4180,3580,4833,2327
W15,3640,3120,4212,2028
W16,2840,2480,3348,1612
W17,2120,1880,2538,1222
W18,1580,1380,1863,897
W19,1180,1020,1377,663
W20,880,760,1026,494
W21,660,570,769,370
W22,490,420,567,273
W23,360,310,418,201
W24,280,240,324,156
