city,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
新北,511,716,345,591,873,87,595,1084,156,418,597,956
臺北,400,879,511,656,702,593,1213,1335,727,764,665,685
桃園,269,434,745,880,93,799,1171,966,148,482,256,387
臺中,188,878,493,782,667,94,537,1174,813,199,639,1144
臺南,486,108,623,467,735,330,1062,1155,1198,361,461,478
高雄,836,368,490,303,348,274,1222,1221,751,650,876,1072
新竹,708,115,709,415,302,551,295,378,592,564,722,165
基隆,213,253,532,769,211,674,355,106,79,697,326,248
彰化,660,194,90,140,576,847,339,570,1105,172,438,847
屏東,896,184,203,760,215,293,754,724,214,73,55,620
